"","politician","wiki_name","birthday","death_date","age","bio","military_service","personal_details"
"2463","Chris Chocola","Chris Chocola","1962-02-24",NA,NA,"Chris ChocolaMember of the U.S. House of Representativesfrom Indiana's 2nd districtIn officeJanuary 3, 2003 <U+0096> January 3, 2007Preceded byTim Roemer (Redistricting)Succeeded byJoe Donnelly",0,"BornJoseph Christopher Chocola (1962-02-24) February 24, 1962 (age<U+00A0>57)Jackson, Michigan, U.S.Political partyRepublicanSpouse(s)Sarah ChocolaResidenceBristol, Indiana, U.S.Alma materHillsdale College (B.A.)Thomas M. Cooley Law School (J.D.)OccupationBanking executive, agribusiness executive, attorney"
"2464","Mike Sodrel","Mike Sodrel","1945-12-17",NA,NA,"Mike SodrelMember of the U.S. House of Representativesfrom Indiana's 9th districtIn officeJanuary 3, 2005 <U+0096> January 3, 2007Preceded byBaron HillSucceeded byBaron Hill",0,"Born (1945-12-17) December 17, 1945 (age<U+00A0>74)Louisville, KentuckyPolitical partyRepublicanSpouse(s)Marquita Dean SodrelResidenceNew Albany, IndianaOccupationAutomotive executive, author"
"2465","Joe Donnelly","Joe Donnelly","1955-09-29",NA,NA,"Joe DonnellyUnited States Senatorfrom IndianaIn officeJanuary 3, 2013<U+00A0><U+0096> January 3, 2019Preceded byRichard LugarSucceeded byMike BraunMember of the U.S. House of Representativesfrom Indiana's 2nd districtIn officeJanuary 3, 2007<U+00A0><U+0096> January 3, 2013Preceded byChris ChocolaSucceeded byJackie Walorski",0,"BornJoseph Simon Donnelly (1955-09-29) September 29, 1955 (age<U+00A0>64)Massapequa, New York, U.S.Political partyDemocraticSpouse(s)Jill Donnelly (m.<U+00A0>1979)Children2EducationUniversity of Notre Dame (BA, JD)"
"2466","Brad Ellsworth","Brad Ellsworth","1958-09-11",NA,NA,"Brad EllsworthMember of the U.S. House of Representativesfrom Indiana's 8th districtIn officeJanuary 3, 2007<U+00A0><U+0096> January 3, 2011Preceded byJohn HostettlerSucceeded byLarry BucshonSheriff of Vanderburgh CountyIn officeJanuary 6, 1999<U+00A0><U+0096> January 3, 2007Preceded byRay HamnerSucceeded byEric Williams",0,"Born (1958-09-11) September 11, 1958 (age<U+00A0>61)Jasper, Indiana, U.S.Political partyDemocraticSpouse(s)Beth EllsworthAlma materUniversity of Southern IndianaIndiana State University"
"2467","Andr<e9> Carson","Andr<U+FFFD> Carson","1974-10-16",NA,NA,"Andr<e9> CarsonMember of the U.S. House of Representativesfrom Indiana's 7th districtIncumbentAssumed office March 11, 2008Preceded byJulia CarsonMember of the Indianapolis City-County Councilfrom the 15th districtIn officeOctober 2007<U+00A0><U+0096> March 13, 2008Preceded byPatrice AbduallahSucceeded byDoris Minton-McNeill",0,"Born (1974-10-16) October 16, 1974 (age<U+00A0>45)Indianapolis, Indiana, U.S.Political partyDemocraticEducationConcordia University Wisconsin (BA)Indiana Wesleyan University (MS)WebsiteHouse website"
"2468","Jackie Walorski","Jackie Walorski","1963-08-13",NA,NA,"Jackie WalorskiMember of the U.S. House of Representativesfrom Indiana's 2nd districtIncumbentAssumed office January 3, 2013Preceded byJoe DonnellyMember of the Indiana House of Representativesfrom the 21st districtIn officeJanuary 5, 2005<U+00A0><U+0096> November 16, 2010Preceded byRichard W. MangusSucceeded byTimothy Wesco",0,"Born (1963-08-13) August 13, 1963 (age<U+00A0>56)South Bend, Indiana, U.S.Political partyRepublicanSpouse(s)Dean SwihartEducationLiberty UniversityTaylor University (BA)WebsiteHouse website"
"2469","Marlin Stutzman","Marlin Stutzman","1976-08-31",NA,NA,"Marlin StutzmanMember of the U.S. House of Representativesfrom Indiana's 3rd districtIn officeNovember 2, 2010<U+00A0><U+0096> January 3, 2017Preceded byMark SouderSucceeded byJim BanksMember of the Indiana Senatefrom the 13th districtIn officeJanuary 2009<U+00A0><U+0096> November 2, 2010Preceded byRobert MeeksSucceeded bySue GlickMember of the Indiana House of Representativesfrom the 52nd districtIn officeJanuary 2003<U+00A0><U+0096> January 2009Preceded byDale SturtzSucceeded byDavid Yarde",0,"BornMarlin Andrew Stutzman (1976-08-31) August 31, 1976 (age<U+00A0>43)Sturgis, Michigan, U.S.Political partyRepublicanSpouse(s)Christy StutzmanChildrenPaytonPrestonAlma materGlen Oaks Community CollegeTrine UniversityWebsiteCampaign website"
"2470","Susan Brooks","Susan Brooks","1960-08-25",NA,NA,"Susan BrooksChair of the House Ethics CommitteeIn officeJanuary 3, 2017<U+00A0><U+0096> January 3, 2019Preceded byCharlie DentSucceeded byTed DeutchMember of the U.S. House of Representativesfrom Indiana's 5th districtIncumbentAssumed office January 3, 2013Preceded byDan BurtonUnited States Attorney for the Southern District of IndianaIn officeOctober 12, 2001<U+00A0><U+0096> October 1, 2007PresidentGeorge W. BushPreceded byJudith Ann StewartSucceeded byTimothy Morrison",0,"BornSusan Lynn Wiant (1960-08-25) August 25, 1960 (age<U+00A0>59)Fort Wayne, Indiana, U.S.Political partyRepublicanSpouse(s)David BrooksChildren2EducationMiami University (BA)Indiana University, Indianapolis (JD)WebsiteHouse website"
"2471","Luke Messer","Luke Messer","1969-02-27",NA,NA,"Luke MesserMember of the U.S. House of Representativesfrom Indiana's 6th districtIn officeJanuary 3, 2013<U+00A0><U+0096> January 3, 2019Preceded byMike PenceSucceeded byGreg PenceMember of the Indiana House of Representativesfrom the 57th districtIn officeMay 21, 2003<U+00A0><U+0096> November 21, 2006Preceded byRoland StineSucceeded bySean Eberhart",0,"BornAllen Lucas Messer (1969-02-27) February 27, 1969 (age<U+00A0>50)Evansville, Indiana, U.S.Political partyRepublicanSpouse(s)Jennifer MesserEducationWabash College (BA)Vanderbilt University (JD)SignatureWebsiteHouse website"
"2472","Larry Bucshon","Larry Bucshon","1962-05-31",NA,NA,"Larry BucshonMember of the U.S. House of Representativesfrom Indiana's 8th districtIncumbentAssumed office January 3, 2011Preceded byBrad Ellsworth",1,"BornLarry Dean Bucshon (1962-05-31) May 31, 1962 (age<U+00A0>57)Taylorville, Illinois, U.S.Political partyRepublicanSpouse(s)Kathryn BucshonChildren4EducationUniversity of Illinois at Urbana<U+0096>Champaign (BS)University of Illinois at Chicago (MD)ProfessionHeart surgeonMilitary serviceAllegiance<U+00A0>United StatesBranch/service<U+00A0>United States NavyYears<U+00A0>of service1989<U+0096>1998Unit United States Navy Reserve"
"2473","Jim Banks","Jim Banks","1979-07-16",NA,NA,"Jim BanksMember of the U.S. House of Representativesfrom Indiana's 3rd districtIncumbentAssumed office January 3, 2017Preceded byMarlin StutzmanMember of the Indiana Senatefrom the 17th districtIn officeNovember 16, 2010<U+00A0><U+0096> November 9, 2016Preceded byDoc DillonSucceeded byAndy ZayMember of the Whitley County Councilfrom the at-large districtIn office2008<U+0096>2010Preceded byScott DarleySucceeded byPaula ReimersChair of the Whitley County Republican PartyIn office2007<U+0096>2011Succeeded byMatt Boyd",1,"BornJames Edward Banks (1979-07-16) July 16, 1979 (age<U+00A0>40)Columbia City, Indiana, U.S.Political partyRepublicanSpouse(s)Amanda BanksChildren3EducationIndiana University Bloomington (BA)Grace College and Seminary (MBA)WebsiteHouse websiteMilitary serviceAllegiance<U+00A0>United StatesBranch/service<U+00A0>United States NavyYears<U+00A0>of service2012<U+0096>presentRank LieutenantUnitUnited States Navy ReserveBattles/warsWar in AfghanistanAwardsDefense Meritorious Service Medal"
"2474","Greg Pence","Greg Pence","1956-11-14",NA,NA,"Greg PenceMember of the U.S. House of Representativesfrom Indiana's 6th districtIncumbentAssumed office January 3, 2019Preceded byLuke Messer",1,"BornGregory Joseph Pence (1956-11-14) November 14, 1956 (age<U+00A0>63)Columbus, Indiana, U.S.Political partyRepublicanSpouse(s)Denise PenceChildren4RelativesMike Pence (brother)Karen Pence (sister-in-law)Charlotte Pence (niece)EducationLoyola University Chicago (BA, MBA)WebsiteHouse websiteMilitary serviceAllegiance<U+00A0>United StatesBranch/service<U+00A0>United States Marine CorpsYears<U+00A0>of service1979<U+0096>1984"
"2475","Trey Hollingsworth","Trey Hollingsworth","1983-09-12",NA,NA,"Trey HollingsworthMember of the U.S. House of Representativesfrom Indiana's 9th districtIncumbentAssumed office January 3, 2017Preceded byTodd Young",0,"BornJoseph Albert Hollingsworth III (1983-09-12) September 12, 1983 (age<U+00A0>36)Clinton, Tennessee, U.S.Political partyRepublicanSpouse(s)Kelly Francis (m.<U+00A0>2014)Children1ResidenceJeffersonville, Indiana, U.S.EducationUniversity of Pennsylvania (BS)Georgetown University (MPP)Net worth$50.1 million (2018)[1]WebsiteOfficial Website"
"2476","Richard Yates Jr.","Richard Yates, Jr.","1936-04-11",NA,NA,"Richard Yates Jr.22nd Governor of IllinoisIn officeJanuary 14, 1901<U+00A0><U+0096> January 9, 1905LieutenantWilliam A. NorthcottPreceded byJohn R. TannerSucceeded byCharles S. DeneenMember of the U.S. House of Representatives from Illinois's at-large districtIn officeMarch 4, 1919<U+00A0><U+0096> March 3, 1933Preceded byMedill McCormickSucceeded byWalter NesbitMember of the Illinois House of Representatives",1,"BornDecember 12, 1860Jacksonville, Illinois, U.S.DiedApril 11, 1936(1936-04-11) (aged<U+00A0>75)Springfield, Illinois, U.S.Political partyRepublicanSpouse(s)Helen WadsworthChildren5ResidenceJacksonville; Springfield; Harbor Springs, MichiganAlma materIllinois CollegeUniversity of MichiganOccupationAttorney; County judgeProfessionPoliticianMilitary serviceBranch/serviceUnited States National GuardYears<U+00A0>of service1885<U+0096>1890RankPrivateUnitIllinois"
"2477","Henry Riggs Rathbone","Henry R. Rathbone","1870-02-12"," 1928-07-15",NA,"Henry Riggs RathboneMember of the U.S. House of Representativesfrom Illinois's at-large districtIn officeMarch 4, 1923 <U+0096> July 15, 1928Preceded byWinnifred Sprague Mason HuckSucceeded byRuth Hanna McCormick",0,"Born(1870-02-12)February 12, 1870Washington, D.C.DiedJuly 15, 1928(1928-07-15) (aged<U+00A0>58)Chicago, IllinoisPolitical partyRepublicanProfessionPolitician, Lawyer"
"2478","Martin A. Brennan","Martin A. Brennan","1879-09-21"," 1941-07-04",NA,"Martin A. BrennanMember of the U.S. House of Representativesfrom Illinois's at-large districtIn officeMarch 4, 1933<U+00A0><U+0096> January 3, 1937Preceded byWilliam H. DieterichSucceeded byEdwin V. ChampionMember of the Illinois House of RepresentativesIn office1921-1923",0,"Born(1879-09-21)September 21, 1879Bloomington, IllinoisDiedJuly 4, 1941(1941-07-04) (aged<U+00A0>61)Bloomington, IllinoisPolitical partyDemocratic"
"2479","Elliott W. Sproul","Elliott W. Sproul","1856-12-28"," 1935-06-22",NA,"Elliott W. SproulMember of the U.S. House of Representativesfrom Illinois's 3rd districtIn officeMarch 4, 1921<U+00A0><U+0096> March 3, 1931Preceded byWilliam Warfield WilsonSucceeded byEdward A. Kelly",0,"Born(1856-12-28)December 28, 1856Apohaqui, Kings County, New Brunswick, CanadaDiedJune 22, 1935(1935-06-22) (aged<U+00A0>78)Chicago, Illinois, U.S.Political partyRepublican"
"2480","John W. Rainey","John W. Rainey","1880-12-21"," 1923-05-04",NA,"John W. RaineyMember of the U.S. House of Representativesfrom Illinois's 4th districtIn officeApril 2, 1918<U+00A0><U+0096> May 4, 1923Preceded byCharles MartinSucceeded byThomas A. Doyle",0,"Born(1880-12-21)December 21, 1880Chicago, IllinoisDiedMay 4, 1923(1923-05-04) (aged<U+00A0>42)Chicago, IllinoisPolitical partyDemocratic"
"2481","Adolph J. Sabath","Adolph J. Sabath","1866-04-04"," 1952-11-06",NA,"Adolph J. Sabath35th Dean of the United States House of RepresentativesIn officeApril 1, 1934<U+00A0><U+0096> November 6, 1952Preceded byEdward W. PouSucceeded byRobert L. DoughtonChairman of the House Rules CommitteeIn officeJanuary 3, 1949<U+00A0><U+0096> November 6, 1952SpeakerSam RayburnPreceded byLeo E. AllenSucceeded byLeo E. AllenIn officeJanuary 3, 1939<U+00A0><U+0096> January 3, 1947SpeakerJoseph W. Byrns Sr.William B. BankheadSam RayburnPreceded byJohn J. O'ConnorSucceeded byLeo E. AllenMember of theU.S. House of Representativesfrom IllinoisIn officeMarch 4, 1907<U+00A0><U+0096> November 6, 1952Preceded byAnthony MichalekSucceeded byJames BowlerConstituency5th district (1907-49)7th district (1949-52)",0,"BornAdolph Joachim Sabath(1866-04-04)April 4, 1866Zabori, Kingdom of Bohemia, Austrian EmpireDiedNovember 6, 1952(1952-11-06) (aged<U+00A0>86)Bethesda, Maryland, United StatesPolitical partyDemocraticAlma materChicago College of LawProfessionBusiness (real estate), lawyer"
"2482","John J. Gorman","John J. Gorman","1883-06-02"," 1949-02-24",NA,"John J. GormanMember of the U.S. House of Representativesfrom Illinois's 6th districtIn officeMarch 4, 1925<U+00A0><U+0096> March 3, 1927Preceded byJames R. BuckleySucceeded byJames T. IgoeIn officeMarch 4, 1921<U+00A0><U+0096> March 3, 1923Preceded byJames McAndrewsSucceeded byJames R. Buckley",0,"Born(1883-06-02)June 2, 1883Minneapolis, MinnesotaDiedFebruary 24, 1949(1949-02-24) (aged<U+00A0>65)Chicago, IllinoisPolitical partyRepublican"
"2483","M. Alfred Michaelson","M. Alfred Michaelson","1878-09-07"," 1949-10-26",NA,"Magne Alfred MichaelsonMember of the U.S. House of Representativesfrom Illinois's 7th districtIn officeMarch 4, 1921<U+00A0><U+0096> March 3, 1931Preceded byNiels JuulSucceeded byLeonard W. Schuetz",0,"Born(1878-09-07)September 7, 1878Kristiansand, NorwayDiedOctober 26, 1949(1949-10-26) (aged<U+00A0>71)Resting placeMount Olivet CemeteryPolitical partyRepublican"
"2484","Stanley H. Kunz","Stanley H. Kunz","1864-09-26"," 1946-04-23",NA,"Stanley H. KunzMember of the U.S. House of Representativesfrom Illinois's 8th districtIn officeApril 5, 1932<U+00A0><U+0096> March 3, 1933Preceded byPeter C. GranataSucceeded byLeo KocialkowskiIn officeMarch 4, 1921<U+00A0><U+0096> March 3, 1931Preceded byThomas GallagherSucceeded byPeter C. GranataMember of the Illinois SenateIn office1902-1906Member of the Illinois House of RepresentativesIn office1888-1890",0,"Born(1864-09-26)September 26, 1864Nanticoke, PennsylvaniaDiedApril 23, 1946(1946-04-23) (aged<U+00A0>81)Chicago, IllinoisPolitical partyDemocratic"
"2485","Frederick A. Britten","Frederick A. Britten","1871-11-18"," 1946-05-04",NA,"Frederick A. BrittenMember of the U.S. House of Representativesfrom Illinois's 9th districtIn officeMarch 4, 1913<U+00A0><U+0096> January 3, 1935Preceded byLynden EvansSucceeded byJames McAndrews",0,"Born(1871-11-18)November 18, 1871Chicago, IllinoisDiedMay 4, 1946(1946-05-04) (aged<U+00A0>74)Bethesda, MarylandPolitical partyRepublican"
"2486","Carl R. Chindblom","Carl R. Chindblom","1870-12-21"," 1956-09-12",NA,"Carl R. ChindblomMember of the U.S. House of Representativesfrom Illinois's 10th districtIn officeMarch 4, 1919<U+00A0><U+0096> March 3, 1933Preceded byGeorge Edmund FossSucceeded byJames Simpson Jr.",0,"Born(1870-12-21)December 21, 1870Chicago, IllinoisDiedSeptember 12, 1956(1956-09-12) (aged<U+00A0>85)Chicago, IllinoisPolitical partyRepublican"
"2487","Ira Clifton Copley","Ira C. Copley","1947-11-01",NA,NA,"Col. Ira Clifton CopleyMember of the U.S. House of Representativesfrom Illinois's 11th districtIn officeMarch 4, 1911<U+00A0><U+0096> March 3, 1923Preceded byHoward M. SnappSucceeded byFrank R. Reid",0,"BornOctober 25, 1864Copley Township, Knox County, Illinois, USDiedNovember 1, 1947(1947-11-01) (aged<U+00A0>83)Aurora, Illinois, USNationalityAmericanPolitical partyRepublicanProgressive (1915<U+0096>1917)Spouse(s)Edith Straker (1892<U+0096>1929)Chloe (Davidson) Warley (1931<U+0096>1947)RelationsRichard H. Whiting (uncle)ChildrenJames S. and William (both adopted)ResidenceAurora, IllinoisAlma materYale CollegeUnion College of LawOccupationPublisher and utilities magnate"
"2488","Charles Eugene Fuller","Charles Eugene Fuller","1849-03-31"," 1926-06-25",NA,"Charles Eugene FullerMember of the U.S. House of Representativesfrom Illinois's 12th districtIn officeMarch 4, 1903<U+00A0><U+0096> March 4, 1913Preceded byJoseph G. CannonSucceeded byWilliam H. HinebaughIn officeMarch 4, 1915<U+00A0><U+0096> June 25, 1926Preceded byWilliam H. HinebaughSucceeded byJohn T. BuckbeeMember of the Illinois House of RepresentativesIn office1882-1888Member of the Illinois SenateIn office1878-18821888-1892",0,"Born(1849-03-31)March 31, 1849Belvidere, Illinois U.S.DiedJune 25, 1926(1926-06-25) (aged<U+00A0>77)Rochester, Minnesota U.S.Political partyRepublican"
"2489","John C. McKenzie","John C. McKenzie","1860-02-18"," 1941-09-17",NA,"John C. McKenzieMember of the U.S. House of Representativesfrom Illinois's 13th districtIn officeMarch 4, 1911<U+00A0><U+0096> March 4, 1925Preceded byFrank O. LowdenSucceeded byWilliam R. Johnson",0,"Born(1860-02-18)February 18, 1860Elizabeth, Illinois U.S.DiedSeptember 17, 1941(1941-09-17) (aged<U+00A0>81)Elizabeth, Illinois U.S.Political partyRepublicanSpouse(s)Jessie I. Lang (m. 1917)[1]"
"2490","William J. Graham","William J. Graham","1872-02-07"," 1937-11-10",NA,"William J. GrahamPresiding Judge of the United States Court of Customs and Patent AppealsIn officeMay 29, 1924<U+00A0><U+0096> November 10, 1937Appointed byCalvin CoolidgePreceded byGeorge Ewing MartinSucceeded byFinis J. GarrettMember of the U.S. House of Representativesfrom Illinois's 14th districtIn officeMarch 4, 1917<U+00A0><U+0096> June 7, 1924Preceded byClyde Howard TavennerSucceeded byJohn Clayton Allen",0,"BornWilliam Johnson Graham(1872-02-07)February 7, 1872New Castle, PennsylvaniaDiedNovember 10, 1937(1937-11-10) (aged<U+00A0>65)Washington, D.C.Resting placeAledo CemeteryAledo, IllinoisPolitical partyRepublicanEducationUniversity of Illinois at Urbana<U+0096>Champaign (B.L.)"
"2491","Edward John King","Edward John King","1867-07-01"," 1929-02-17",NA,"Edward John KingMember of the U.S. House of Representativesfrom Illinois's 15th districtIn officeMarch 4, 1915<U+00A0><U+0096> February 17, 1929Preceded byStephen A. HoxworthSucceeded byBurnett M. ChiperfieldMember of the Illinois House of RepresentativesIn office1907-1914",0,"Born(1867-07-01)July 1, 1867Springfield, MassachusettsDiedFebruary 17, 1929(1929-02-17) (aged<U+00A0>61)Washington, D.C.Political partyRepublican"
"2492","Clifford C. Ireland","Clifford Ireland","1878-02-14"," 1930-05-24",NA,"Clifford C. IrelandMember of the U.S. House of Representativesfrom Illinois's 16th districtIn officeMarch 4, 1917<U+00A0><U+0096> March 3, 1923Preceded byClaude U. StoneSucceeded byWilliam E. Hull",0,"Born(1878-02-14)February 14, 1878Washburn, IllinoisDiedMay 24, 1930(1930-05-24) (aged<U+00A0>52)Chicago, IllinoisPolitical partyRepublican"
"2493","Frank H. Funk","Frank H. Funk","1869-04-05"," 1940-11-24",NA,"Frank H. FunkMember of the U.S. House of Representativesfrom Illinois's 17th districtIn officeMarch 4, 1921<U+00A0><U+0096> March 3, 1927Preceded byFrank L. SmithSucceeded byHomer W. HallMember of the Illinois SenateIn office1909-1911",0,"Born(1869-04-05)April 5, 1869Bloomington, IllinoisDiedNovember 24, 1940(1940-11-24) (aged<U+00A0>71)Bloomington, IllinoisPolitical partyRepublican"
"2494","Joseph Gurney Cannon","Joseph G. Cannon","harater0",NA,"90","Joseph Gurney Cannon35th Speaker of the United States House of RepresentativesIn officeNovember 9, 1903<U+00A0><U+0096> March 3, 1911Preceded byDavid B. HendersonSucceeded byChamp ClarkLeader of the House Republican ConferenceIn officeNovember 9, 1903<U+00A0><U+0096> March 3, 1911Preceded byDavid B. HendersonSucceeded byJames Robert MannChairman of the House Republican ConferenceIn officeMarch 4, 1899<U+00A0><U+0096> March 3, 1903SpeakerDavid B. HendersonPreceded byCharles H. GrosvenorSucceeded byWilliam P. HepburnIn officeMarch 4, 1883<U+00A0><U+0096> March 3, 1889SpeakerJohn G. CarlislePreceded byGeorge M. RobesonSucceeded byThomas J. HendersonMember of theU.S. House of Representatives from IllinoisIn officeMarch 4, 1873<U+00A0><U+0096> March 3, 1891March 4, 1893 <U+0096> March 3, 1913March 4, 1915 <U+0096> March 3, 1923Preceded byDistrict created in 1873Samuel T. Busey (1893)Frank Trimble O'Hair (1915)Succeeded bySamuel T. Busey (1891)Frank Trimble O'Hair (1913)William P. Holaday (1923)Constituency14th district (1873<U+0096>83)15th district (1883<U+0096>91, 93<U+0096>95)12th district (1895<U+0096>1903)18th district (1903<U+0096>13, 15<U+0096>23)",0,"BornMay 7, 1836Guilford County, North Carolina, U.S.DiedNovember 12, 1926 (aged 90)Danville, Illinois, U.S.NationalityAmericanPolitical partyRepublicanSpouse(s)Mary P. ReedChildren2Alma materUniversity of CincinnatiProfessionLawSignature"
"2495","Allen F. Moore","Allen F. Moore","1869-09-30"," 1945-08-18",NA,"Allen F. MooreMember of the U.S. House of Representativesfrom Illinois's 19th districtIn officeMarch 4, 1921<U+00A0><U+0096> March 3, 1925Preceded byWilliam B. McKinleySucceeded byCharles Adkins",0,"Born(1869-09-30)September 30, 1869St. Charles Township, IllinoisDiedAugust 18, 1945(1945-08-18) (aged<U+00A0>75)San Antonio, TexasPolitical partyRepublican"
"2496","Guy L. Shaw","Guy L. Shaw","1881-05-16"," 1950-05-19",NA,"Guy L. ShawMember of the U.S. House of Representativesfrom Illinois's 20th districtIn officeMarch 4, 1921<U+00A0><U+0096> March 3, 1923Preceded byHenry Thomas RaineySucceeded byHenry Thomas Rainey",0,"Born(1881-05-16)May 16, 1881Summer Hill, IllinoisDiedMay 19, 1950(1950-05-19) (aged<U+00A0>69)Normal, IllinoisPolitical partyRepublican"
"2497","Loren E. Wheeler","Loren E. Wheeler","1862-10-07"," 1932-01-08",NA,"Loren E. WheelerMember of the U.S. House of Representativesfrom Illinois's 21st districtIn officeMarch 4, 1925<U+00A0><U+0096> March 3, 1927Preceded byJames Earl MajorSucceeded byJames Earl MajorIn officeMarch 4, 1915<U+00A0><U+0096> March 3, 1923Preceded byJames McMahon GrahamSucceeded byJames Earl Major",0,"Born(1862-10-07)October 7, 1862Havana, IllinoisDiedJanuary 8, 1932(1932-01-08) (aged<U+00A0>69)Springfield, IllinoisPolitical partyRepublican"
"2498","William A. Rodenberg","William A. Rodenberg","1865-10-30"," 1937-09-10",NA,"William A. RodenbergMember of the U.S. House of Representativesfrom Illinois's 22nd districtIn officeMarch 4, 1915<U+00A0><U+0096> March 3, 1923Preceded byWilliam N. BaltzSucceeded byEdward E. MillerIn officeMarch 4, 1903<U+00A0><U+0096> March 3, 1913Preceded byGeorge Washington SmithSucceeded byWilliam N. BaltzMember of the U.S. House of Representativesfrom Illinois's 21st districtIn officeMarch 4, 1899<U+00A0><U+0096> March 3, 1901Preceded byJehu BakerSucceeded byFred J. Kern",0,"Born(1865-10-30)October 30, 1865Chester, IllinoisDiedSeptember 10, 1937(1937-09-10) (aged<U+00A0>71)Alpena, MichiganPolitical partyRepublican"
"2499","Edwin B. Brooks","Edwin B. Brooks","1868-09-20"," 1933-09-18",NA,"Edwin B. BrooksMember of the U.S. House of Representativesfrom Illinois's 23rd districtIn officeMarch 4, 1919<U+00A0><U+0096> March 3, 1923Preceded byMartin D. FosterSucceeded byWilliam W. Arnold",0,"Born(1868-09-20)September 20, 1868Newton, IllinoisDiedSeptember 18, 1933(1933-09-18) (aged<U+00A0>64)Newton, IllinoisPolitical partyRepublican"
"2500","Thomas Scott Williams","Thomas S. Williams",NA,NA,NA,"Thomas Scott WilliamsBorn26 June 1777<U+00A0>Wethersfield<U+00A0>Died15 December 1861<U+00A0> (aged 84)Hartford<U+00A0>Alma<U+00A0>materYale University<U+00A0>OccupationPolitician, lawyer, judge<U+00A0>Position heldUnited States representative",NA,NA
"2501","Edward E. Denison","Edward E. Denison","1873-08-28"," 1953-06-17",NA,"Edward E. DenisonMember of the U.S. House of Representativesfrom Illinois's 25th districtIn officeMarch 4, 1915<U+00A0><U+0096> March 3, 1931Preceded byRobert P. HillSucceeded byKent E. Keller",0,"Born(1873-08-28)August 28, 1873Marion, IllinoisDiedJune 17, 1953(1953-06-17) (aged<U+00A0>79)Carbondale, IllinoisPolitical partyRepublican"
"2502","James R. Buckley","James R. Buckley","1870-11-18"," 1945-06-22",NA,"James R. BuckleyMember of the U.S. House of Representativesfrom Illinois's 6th districtIn officeMarch 4, 1923<U+00A0><U+0096> March 3, 1925Preceded byJohn J. GormanSucceeded byJohn J. Gorman",0,"Born(1870-11-18)November 18, 1870Chicago, IllinoisDiedJune 22, 1945(1945-06-22) (aged<U+00A0>74)Chicago, IllinoisPolitical partyDemocraticSpouse(s)Mary Tahan[1]"
"2503","Frank R. Reid","Frank R. Reid","1879-04-18"," 1945-01-25",NA,"Frank R. ReidMember of the U.S. House of Representativesfrom Illinois's 11th districtIn officeMarch 4, 1923<U+00A0><U+0096> January 3, 1935Preceded byIra Clifton CopleySucceeded byChauncey W. Reed",0,"BornFrank Reid(1879-04-18)April 18, 1879Aurora, IllinoisDiedJanuary 25, 1945(1945-01-25) (aged<U+00A0>65)Aurora, IllinoisPolitical partyRepublican"
"2504","William E. Hull","William E. Hull","1866-01-13"," 1942-05-30",NA,"William E. HullMember of the U.S. House of Representativesfrom Illinois's 16th districtIn officeMarch 4, 1923<U+00A0><U+0096> March 3, 1933Preceded byClifford C. IrelandSucceeded byEverett Dirksen",0,"Born(1866-01-13)January 13, 1866Lewistown, IllinoisDiedMay 30, 1942(1942-05-30) (aged<U+00A0>76)Toronto, Ontario, CanadaPolitical partyRepublican"
"2505","William P. Holaday","William P. Holaday","1882-12-14"," 1946-01-29",NA,"William P. HoladayMember of the U.S. House of Representativesfrom 's 18th districtIn officeMarch 4, 1923<U+00A0><U+0096> March 3, 1933Preceded byJoseph Gurney CannonSucceeded byJames A. MeeksMember of the Illinois House of RepresentativesIn office1909-1923",0,"Born(1882-12-14)December 14, 1882Ridge Farm, IllinoisDiedJanuary 29, 1946(1946-01-29) (aged<U+00A0>63)Georgetown, IllinoisPolitical partyRepublican"
"2506","Henry Thomas Rainey","Henry T. Rainey","harater0",NA,"73","Henry Thomas Rainey40th Speaker of the United States House of RepresentativesIn officeMarch 9, 1933<U+00A0><U+0096> August 19, 1934Preceded byJohn N. GarnerSucceeded byJoseph W. Byrns, Sr.Leader of the House Democratic CaucusIn officeMarch 9, 1933<U+00A0><U+0096> August 19, 1934Preceded byJohn Nance GarnerSucceeded byJo ByrnsHouse Majority LeaderIn officeDecember 7, 1931<U+00A0><U+0096> March 3, 1933Preceded byJohn Q. TilsonSucceeded byJoseph W. ByrnsMember of the U.S. House of Representativesfrom Illinois's 20th districtIn officeMarch 4, 1923<U+00A0><U+0096> August 19, 1934Preceded byGuy L. ShawSucceeded byScott W. LucasIn officeMarch 4, 1903<U+00A0><U+0096> March 3, 1921Preceded byJames R. WilliamsSucceeded byGuy L. Shaw",0,"BornAugust 20, 1860Carrollton, IllinoisDiedAugust 19, 1934 (aged 73)St. Louis, MissouriPolitical partyDemocraticAlma materKnox CollegeAmherst CollegeUnion College of LawProfessionLaw"
